"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.506558,0.036809,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,209.502777,2.135956,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,88.496027,11.165937,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,99.327532,5.694814,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,144.352786,2.340645,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,49.202370,1.859149,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,40.239849,1.256198,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,41.599589,4.756377,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,32.944382,3.712723,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,24.469284,0.709828,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,25.941751,0.405626,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,16.035372,0.268607,"ops/s",1750000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,92.597846,5.459235,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,52.192096,9.831207,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,38.466627,5.690694,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,27.959219,1.827581,"ops/s",500000
